timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709650585648,213,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-5,text,true,,412,597,4,4,https://testslotegrator.com/api/automationTask/getOne,213,0,170
1709650585549,389,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,127547,536,3,3,https://testslotegrator.com/api/automationTask/getAll,296,0,151
1709650585752,208,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,208,0,159
1709650585849,235,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,235,0,179
1709650585948,198,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,198,0,155
1709650586049,195,Create,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,479,768,2,2,https://testslotegrator.com/api/automationTask/create,195,0,148
1709650586151,197,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,197,0,154
1709650586248,199,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,199,0,155
1709650586348,203,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,203,0,152
1709650586448,370,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,127695,536,4,4,https://testslotegrator.com/api/automationTask/getAll,288,0,153
1709650586648,193,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,193,0,146
1709650586552,377,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,127695,536,3,3,https://testslotegrator.com/api/automationTask/getAll,287,0,152
1709650586850,205,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,4,4,https://testslotegrator.com/api/automationTask/getOne,205,0,158
1709650586749,398,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-5,text,true,,127695,536,3,3,https://testslotegrator.com/api/automationTask/getAll,307,0,148
1709650586948,216,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,216,0,156
